tipo_post;post_id;post_link;link;link_domain;UrlCompleta;titulo_facebook
link;71339054219_10153116219099220;https://www.facebook.com/71339054219/posts/10153116219099220;http://a.ln.com.ar/1W0rHG3;;URL NULL;
link;71339054219_10153116246264220;https://www.facebook.com/71339054219/posts/10153116246264220;http://a.ln.com.ar/1gISzKE;;URL NULL;
link;71339054219_10153116342324220;https://www.facebook.com/71339054219/posts/10153116342324220;http://a.ln.com.ar/1N8V4jr;;URL NULL;
link;71339054219_10153116368274220;https://www.facebook.com/71339054219/posts/10153116368274220;http://a.ln.com.ar/1ONEoys;;URL NULL;
link;71339054219_10153116417954220;https://www.facebook.com/71339054219/posts/10153116417954220;http://a.ln.com.ar/1W0tjzz;;URL NULL;
link;71339054219_10153116434999220;https://www.facebook.com/71339054219/posts/10153116434999220;http://a.ln.com.ar/1KPgzW5;;URL NULL;
link;71339054219_10153116469339220;https://www.facebook.com/71339054219/posts/10153116469339220;http://a.ln.com.ar/1gIWCqh;;URL NULL;
link;71339054219_10153116486779220;https://www.facebook.com/71339054219/posts/10153116486779220;http://a.ln.com.ar/1gIYAHh;;URL NULL;
link;71339054219_10153116501594220;https://www.facebook.com/71339054219/posts/10153116501594220;http://a.ln.com.ar/1KPjDl9;;URL NULL;
link;71339054219_10153116523859220;https://www.facebook.com/71339054219/posts/10153116523859220;http://a.ln.com.ar/1gJ1cou;;URL NULL;
link;71339054219_10153116540509220;https://www.facebook.com/71339054219/posts/10153116540509220;http://a.ln.com.ar/1UmdCRk;;URL NULL;
link;71339054219_10153116585924220;https://www.facebook.com/71339054219/posts/10153116585924220;http://a.ln.com.ar/1W0tpao;;URL NULL;
link;71339054219_10153116662564220;https://www.facebook.com/71339054219/posts/10153116662564220;http://a.ln.com.ar/1Ip1FCM;;URL NULL;
photo;71339054219_10153116672964220;https://www.facebook.com/71339054219/posts/10153116672964220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153116672964220/?type=3;;URL NULL;
photo;71339054219_10153116673394220;https://www.facebook.com/71339054219/posts/10153116673394220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153116673394220/?type=3;;URL NULL;
photo;71339054219_10153116674049220;https://www.facebook.com/71339054219/posts/10153116674049220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153116674049220/?type=3;;URL NULL;
link;71339054219_10153116702429220;https://www.facebook.com/71339054219/posts/10153116702429220;http://a.ln.com.ar/1Ip2eg4;;URL NULL;
link;71339054219_10153116753894220;https://www.facebook.com/71339054219/posts/10153116753894220;http://a.ln.com.ar/1eSz8wZ;;URL NULL;
link;71339054219_10153116852779220;https://www.facebook.com/71339054219/posts/10153116852779220;http://a.ln.com.ar/1hj38Ei;;URL NULL;
link;71339054219_10153116913939220;https://www.facebook.com/71339054219/posts/10153116913939220;http://a.ln.com.ar/1hj3KJW;;URL NULL;
link;71339054219_10153116939064220;https://www.facebook.com/71339054219/posts/10153116939064220;http://a.ln.com.ar/1hj2Kp8;;URL NULL;
link;71339054219_10153116955724220;https://www.facebook.com/71339054219/posts/10153116955724220;http://a.ln.com.ar/1IWXlk0;;URL NULL;
link;71339054219_10153116969924220;https://www.facebook.com/71339054219/posts/10153116969924220;http://a.ln.com.ar/1eStFWU;;URL NULL;
photo;71339054219_10153116973374220;https://www.facebook.com/71339054219/posts/10153116973374220;http://a.ln.com.ar/1IH7Npb;;URL NULL;
photo;71339054219_10153116975739220;https://www.facebook.com/71339054219/posts/10153116975739220;http://a.ln.com.ar/1IH7Tx6;;URL NULL;
photo;71339054219_10153116993854220;https://www.facebook.com/71339054219/posts/10153116993854220;http://a.ln.com.ar/1E84MNL;;URL NULL;
photo;71339054219_10153117011694220;https://www.facebook.com/71339054219/posts/10153117011694220;http://a.ln.com.ar/1M4TCjl;;URL NULL;
photo;71339054219_10153117025449220;https://www.facebook.com/71339054219/posts/10153117025449220;http://a.ln.com.ar/1KQAcx4;;URL NULL;
